Name,Category,Popularity,Latitude,Longitude
Trevi Fountain,,Priority,41.90092624,12.48331674
Eiffel Tower,,Priority,48.85834003,2.29438159
Colosseum,,Priority,41.89021011,12.49223308
Prophet's Mosque,,Priority,24.4675155,39.6112161
Gateway Of India Mumbai,,Priority,18.92195332,72.83466533
Louvre Museum,,Priority,48.86061119,2.337607626
Louvre Museum,,Priority,48.86060443,2.337596602
Disneyland Paris,,Priority,48.86739985,2.78360126
Basílica de la Sagrada Família,,Priority,41.40360849,2.174284352
Ibirapuera Park,,Priority,-23.58596403,-46.6584378
Central Park,,Priority,40.78259526,-73.96564833
Dubai Mall,,Priority,25.19720482,55.27975538
Arc de Triomphe,,Priority,48.87379023,2.295025408
Arc de Triomphe,,Priority,48.87378509,2.295018112
Arc de Triomphe,,Priority,48.87381198,2.295018113
India Gate,Visited,Priority,28.61294003,77.22949125
Charminar,,Priority,17.36159421,78.47464058
Magic Kingdom Park,,Priority,28.41890076,-81.58183558
Taj Mahal,,Priority,27.17511628,78.04202118
Times Square,,Priority,40.75792669,-73.98555413
Times Square,,Priority,40.75797417,-73.98554666
Beto Carrero World,,Priority,-26.79985492,-48.61365266
Piazza Navona,,Priority,41.89916324,12.47308812
Mercat de la Boqueria,,Priority,41.38175587,2.171559463
Vatican Museums,,Priority,41.90648444,12.45364464
Sri Harmandir Sahib,,Priority,31.62000165,74.87654527
London Eye,,Priority,51.50317636,-0.119501439
Europa-Park,,Priority,48.26604077,7.72201833
Prague Castle,,Priority,50.0911034,14.4015769
Prague Castle,,Priority,50.09109971,14.40161336
Buckingham Palace,,Priority,51.5013575,-0.141908078
Casa Batlló,,Priority,41.39169394,2.164866638
Tower of Pisa,,Priority,43.72295955,10.3965598
Brandenburg Gate,,Priority,52.51628346,13.37768512
Brandenburg Gate,,Priority,52.5162874,13.37773403
Eco Park,,Priority,22.6004126,88.47061281
Tower Bridge,,Priority,51.50548195,-0.075539665
Saint Peter’s Basilica,,Priority,41.90215346,12.45395225
Schönbrunn Palace,,Priority,48.18581054,16.31276201
Saint Peter’s Basilica,,Priority,41.90218223,12.45394893
Amber Palace,,Priority,26.98543342,75.85134796
Universal Studios Hollywood,,Priority,34.13707354,-118.3533122
The British Museum,,Priority,51.51940043,-0.126956923
The British Museum,,Priority,51.51941326,-0.126961689
Red Square,,Priority,55.7539385,37.62074459
Lalbagh Botanical Garden,,Priority,12.94940518,77.58463724
Red Fort,Visited,Priority,28.65617079,77.24101367
Palace of Versailles,,Priority,48.80487183,2.120296456
Qutub Minar,After Summers,Priority,28.5245134,77.1855177
Hawa Mahal,,Priority,26.92405529,75.82670737
The Alhambra,,Priority,37.17607367,-3.588155963
DLF Mall of India,,Priority,28.56731584,77.32120803
Camden Market,,Priority,51.54141892,-0.146517526
Marienplatz,,Priority,48.13739008,11.57543202
Universal Studios Japan,,Priority,34.66567997,135.4323118
Select City Walk Mall,Visited,Priority,28.5284661,77.2192153
Roman Forum,,Priority,41.89209307,12.48644429
National Mall,,Priority,38.88751377,-77.03640263
Acropolis of Athens,,Priority,37.97154873,23.72573393
Hyde Park,,Priority,51.50856309,-0.160883795
Agra Fort,,Priority,27.17954639,78.02110429
Golconda Fort,,Priority,17.38331942,78.40104546
Trafalgar Square,,Priority,51.5080398,-0.128061312
Hagia Sophia Grand Mosque,,Priority,41.00856678,28.98016083
Hagia Sophia Grand Mosque,,Priority,41.00861281,28.98015592
