Place,CountryState,Popularity,Latitude,Longitude
Whakarewarewa - The Living Maori Village,New Zealand,Tier V,-38.16112889,176.256487
Rotorua Maori Experience,New Zealand,Tier IV,-38.16320047,176.2508671
Mauao / Mount Maunganui summit,New Zealand,Tier IV,-37.63039372,176.1720931
Craters of the Moon,New Zealand,Tier V,-38.64429375,176.0714325
Hobbiton™ Movie Set Tours,New Zealand,Tier III,-37.87211482,175.6828667
Tongariro National Park,New Zealand,Tier V,-39.19281971,175.5938161
Hamilton Gardens,New Zealand,Tier III,-37.80574586,175.3048782
Waitomo Glowworm Caves,New Zealand,Tier III,-38.26070527,175.1036043
Wētā Cave,New Zealand,Tier V,-41.30641935,174.8242498
Museum of New Zealand Te Papa Tongarewa,New Zealand,Tier III,-41.29050358,174.7820808
Pukekura Park,New Zealand,Tier V,-39.06352574,174.0800541
The Margaret Mahy Family Playground,New Zealand,Tier IV,-43.52800173,172.6412666
Aoraki/Mount Cook National Park,New Zealand,Tier V,-43.59465591,170.2623939
Hooker Valley track,New Zealand,Tier V,-43.71812281,170.0939655
Puzzling World,New Zealand,Tier V,-44.69672644,169.1615787
Skyline Queenstown,New Zealand,Tier III,-45.02850314,168.6561931
Currumbin Wildlife Sanctuary,Australia,Tier III,-28.13555337,153.488524
SkyPoint Observation Deck,Australia,Tier III,-28.00631074,153.4296471
Sea World,Australia,Tier III,-27.9572563,153.4255054
Australian Outback Spectacular,Australia,Tier IV,-27.91193207,153.3166607
Warner Bros. Movie World,Australia,Tier II,-27.90693798,153.3130805
Fox In A Box Brisbane Escape Rooms,Australia,Tier V,-27.46965796,153.027809
Queen Street Mall,Australia,Tier IV,-27.46965244,153.0252493
The Wheel of Brisbane,Australia,Tier IV,-27.47511636,153.0208518
Australia Zoo,Australia,Tier III,-26.83572316,152.9631185
Manly Beach,Australia,Tier V,-33.79624604,151.2883851
Bondi Beach,Australia,Tier V,-33.89143565,151.2767264
Taronga Zoo Sydney,Australia,Tier II,-33.84354862,151.2413382
Art Gallery of New South Wales,Australia,Tier III,-33.86884874,151.2173522
Royal Botanic Garden Sydney,Australia,Tier III,-33.86418596,151.216569
Sydney Opera House,Australia,Tier I,-33.85679106,151.2152862
Saint Mary's Cathedral,Australia,Tier IV,-33.8711941,151.2133193
Sydney Harbour Bridge,Australia,Tier III,-33.85224133,151.2106005
Sydney Tower Eye,Australia,Tier III,-33.87033654,151.2088635
Westfield Sydney,Australia,Tier III,-33.87056349,151.2085014
Queen Victoria Building,Australia,Tier III,-33.87172705,151.2066935
Madame Tussauds Sydney,Australia,Tier V,-33.86959125,151.2017593
WILD LIFE Sydney Zoo,Australia,Tier V,-33.86940885,151.2016907
Darling Harbour,Australia,Tier I,-33.87489392,151.2008902
Australian National Maritime Museum,Australia,Tier V,-33.86935658,151.1986462
Sydney Fish Market,Australia,Tier II,-33.87290691,151.1926668
Blue Mountains National Park,Australia,Tier IV,-33.59324083,150.5356399
Ocean Rafting,Australia,Tier V,-20.26393731,148.7134426
Freycinet National Park,Australia,Tier V,-42.13064419,148.3123205
Royal Tasmanian Botanical Gardens,Australia,Tier IV,-42.86568921,147.3310613
Healesville Sanctuary (Zoos Victoria),Australia,Tier IV,-37.68209521,145.5314491
Puffing Billy Railway,Australia,Tier IV,-37.90779265,145.3565782
Melbourne Cricket Ground,Australia,Tier II,-37.81994143,144.9834056
Luna Park Melbourne,Australia,Tier IV,-37.86781767,144.9769074
Carlton Gardens,Australia,Tier III,-37.80544843,144.9713876
Melbourne Skydeck,Australia,Tier III,-37.82134413,144.9646676
SEA LIFE Melbourne Aquarium,Australia,Tier III,-37.82062882,144.9582176
Queen Victoria Market,Australia,Tier I,-37.80759665,144.9567261
Grampians National Park,Australia,Tier V,-37.21090755,142.3979299
AEON MALL Narita,Japan,Tier IV,35.79560899,140.3186979
Tokyo Disneyland,Japan,Priority,35.63291205,139.8803858
Tokyo Skytree,Japan,Priority,35.71005254,139.8106654
Edo-Tokyo Museum,Japan,Tier III,35.69643855,139.7964268
Tokyo National Museum,Japan,Tier II,35.7188486,139.7765158
National Museum of Nature and Science,Japan,Tier II,35.71646388,139.7763367
Owl Cafe Tokyo,Japan,Tier IV,35.70079925,139.7748419
Tsukiji Hongan-ji Temple,Japan,Tier IV,35.66650706,139.7722564
Tsukiji Outer Market,Japan,Tier I,35.66477025,139.7702504
Tokyo Tower,Japan,Tier I,35.65860926,139.7453667
Shinjuku Gyoen National Garden,Japan,Tier II,35.68516926,139.7100615
Tokyo Metropolitan Government Building North Observation Deck,Japan,Tier IV,35.68971862,139.6916559
Inokashira Park,Japan,Tier III,35.69974733,139.5737024
Ghibli Museum,Japan,Tier III,35.6962392,139.5704311
The Hakone Open-Air Museum,Japan,Tier III,35.2451608,139.0507222
Mount Fuji,Japan,Tier III,35.36062151,138.7273139
Atsuta-jingu Shrine,Japan,Tier III,35.12736693,136.908684
Shirakawa-go,Japan,Tier II,36.25780407,136.9061899
Toyota Commemorative Museum of Industry and Technology,Japan,Tier III,35.18256303,136.8759929
Iga-ryu Ninja Museum,Japan,Tier V,34.7718206,136.1291059
Kasugataisha Shrine,Japan,Tier III,34.68154459,135.8484715
Nara Park,Japan,Tier I,34.68504791,135.8430123
Fushimi Inari Taisha,Japan,Tier I,34.96769495,135.7791868
Senbon Torii (Thousand Torii Gates),Japan,Tier III,34.96705789,135.7746578
mipig cafe Kyoto,Japan,Tier IV,35.00404547,135.7671434
Traditional Tea Ceremony,Japan,Tier V,35.00762934,135.7663442
SAMURAI NINJA MUSEUM Kyoto,Japan,Tier III,35.00721873,135.7635652
AEON MALL KYOTO,Japan,Tier III,34.98272843,135.7544583
Nijō Castle,Japan,Tier II,35.01403383,135.7484149
Kyoto Railway Museum,Japan,Tier III,34.98709722,135.7422737
Hōryū-ji,Japan,Tier IV,34.61472906,135.7341801
Kinkaku-ji,Japan,Tier I,35.03936712,135.7292454
Arashiyama Bamboo Forest,Japan,Tier III,35.01681775,135.6713075
Kongobu-ji Okuno-in,Japan,Tier IV,34.2229802,135.6057239
Osaka Castle,Japan,Tier I,34.68732457,135.5258049
Abeno Harukas,Japan,Tier I,34.64606999,135.5134723
Tennoji Zoo,Japan,Tier III,34.65109786,135.5084308
Nakanoshima Park,Japan,Tier IV,34.69248533,135.5073307
Tsutenkaku,Japan,Tier II,34.65249835,135.5063019
Dotonbori,Japan,Tier I,34.66871444,135.5012866
mipig cafe,Japan,Tier III,34.67170292,135.4987705
Namba Yasaka Jinja,Japan,Tier III,34.66155802,135.4967027
Sumiyoshi Taisha,Japan,Tier III,34.61232251,135.4936733
"The National Museum of Art, Osaka",Japan,Tier V,34.69177702,135.4919872
Umeda Sky Building,Japan,Tier II,34.70535343,135.4895635
